views	n_tweets	n_tweeted
914	19	1038140
915	25	1038165
916	19	1038184
917	24	1038208
918	23	1038231
919	25	1038256
920	11	1038267
921	16	1038283
922	19	1038302
923	23	1038325
924	8	1038333
925	16	1038349
926	19	1038368
927	22	1038390
928	13	1038403
929	14	1038417
930	15	1038432
931	18	1038450
932	20	1038470
933	16	1038486
934	22	1038508
935	18	1038526
936	22	1038548
937	22	1038570
938	22	1038592
939	15	1038607
940	14	1038621
941	11	1038632
942	16	1038648
943	12	1038660
944	13	1038673
945	18	1038691
946	13	1038704
947	27	1038731
948	12	1038743
949	16	1038759
950	10	1038769
951	20	1038789
952	24	1038813
953	16	1038829
954	16	1038845
955	13	1038858
956	16	1038874
957	18	1038892
958	15	1038907
959	22	1038929
960	11	1038940
961	15	1038955
962	10	1038965
963	18	1038983
964	15	1038998
965	19	1039017
966	19	1039036
967	11	1039047
968	14	1039061
969	16	1039077
970	12	1039089
971	11	1039100
972	12	1039112
973	21	1039133
974	16	1039149
975	18	1039167
976	19	1039186
977	19	1039205
978	15	1039220
979	13	1039233
980	16	1039249
981	16	1039265
982	12	1039277
983	17	1039294
984	11	1039305
985	21	1039326
986	19	1039345
987	16	1039361
988	14	1039375
989	23	1039398
990	15	1039413
991	11	1039424
992	17	1039441
993	17	1039458
994	17	1039475
995	24	1039499
996	12	1039511
997	14	1039525
998	13	1039538
999	13	1039551
1000	16	1039567
1001	24	1039591
1002	14	1039605
1003	8	1039613
1004	13	1039626
1005	18	1039644
1006	16	1039660
1007	16	1039676
1008	11	1039687
1009	13	1039700
1010	13	1039713
1011	7	1039720
1012	13	1039733
1013	13	1039746
1014	8	1039754
1015	10	1039764
1016	10	1039774
1017	15	1039789
1018	19	1039808
1019	11	1039819
1020	14	1039833
1021	12	1039845
1022	12	1039857
1023	21	1039878
1024	18	1039896
1025	14	1039910
1026	16	1039926
1027	18	1039944
1028	13	1039957
1029	12	1039969
1030	13	1039982
1031	12	1039994
1032	10	1040004
1033	19	1040023
1034	17	1040040
1035	10	1040050
1036	17	1040067
1037	17	1040084
1038	16	1040100
1039	11	1040111
1040	17	1040128
1041	15	1040143
1042	14	1040157
1043	20	1040177
1044	12	1040189
1045	17	1040206
1046	10	1040216
1047	20	1040236
1048	9	1040245
1049	14	1040259
1050	13	1040272
1051	19	1040291
1052	16	1040307
1053	13	1040320
1054	16	1040336
1055	11	1040347
1056	16	1040363
1057	9	1040372
1058	15	1040387
1059	16	1040403
1060	24	1040427
1061	5	1040432
1062	23	1040455
1063	17	1040472
1064	14	1040486
1065	8	1040494
1066	12	1040506
1067	10	1040516
1068	8	1040524
1069	11	1040535
1070	17	1040552
1071	16	1040568
1072	12	1040580
1073	26	1040606
1074	12	1040618
1075	17	1040635
1076	12	1040647
1077	14	1040661
1078	10	1040671
1079	15	1040686
1080	14	1040700
1081	11	1040711
1082	12	1040723
1083	11	1040734
1084	8	1040742
1085	10	1040752
1086	11	1040763
1087	13	1040776
1088	15	1040791
1089	11	1040802
1090	12	1040814
1091	12	1040826
1092	17	1040843
1093	12	1040855
1094	12	1040867
1095	9	1040876
1096	9	1040885
1097	8	1040893
1098	15	1040908
1099	6	1040914
1100	14	1040928
1101	17	1040945
1102	9	1040954
1103	11	1040965
1104	14	1040979
1105	12	1040991
1106	11	1041002
1107	9	1041011
1108	8	1041019
1109	13	1041032
1110	7	1041039
1111	13	1041052
1112	15	1041067
1113	10	1041077
1114	16	1041093
1115	10	1041103
1116	16	1041119
1117	12	1041131
1118	12	1041143
1119	16	1041159
1120	11	1041170
1121	12	1041182
1122	6	1041188
1123	17	1041205
1124	11	1041216
1125	11	1041227
1126	12	1041239
1127	9	1041248
1128	7	1041255
1129	15	1041270
1130	16	1041286
1131	14	1041300
1132	9	1041309
1133	10	1041319
1134	16	1041335
1135	11	1041346
1136	8	1041354
1137	7	1041361
1138	16	1041377
1139	14	1041391
1140	6	1041397
1141	16	1041413
1142	8	1041421
1143	6	1041427
1144	7	1041434
1145	5	1041439
1146	16	1041455
1147	17	1041472
1148	12	1041484
1149	10	1041494
1150	14	1041508
1151	10	1041518
1152	11	1041529
1153	14	1041543
1154	8	1041551
1155	10	1041561
1156	13	1041574
1157	11	1041585
1158	11	1041596
1159	12	1041608
1160	14	1041622
1161	8	1041630
1162	8	1041638
1163	8	1041646
1164	15	1041661
1165	14	1041675
1166	12	1041687
1167	15	1041702
1168	5	1041707
1169	10	1041717
1170	10	1041727
1171	14	1041741
1172	4	1041745
1173	8	1041753
1174	6	1041759
1175	9	1041768
1176	16	1041784
1177	13	1041797
1178	8	1041805
1179	16	1041821
1180	8	1041829
1181	10	1041839
1182	14	1041853
1183	11	1041864
1184	14	1041878
1185	4	1041882
1186	12	1041894
1187	7	1041901
1188	9	1041910
1189	14	1041924
1190	19	1041943
1191	8	1041951
1192	5	1041956
1193	7	1041963
1194	7	1041970
1195	8	1041978
1196	2	1041980
1197	8	1041988
1198	6	1041994
1199	11	1042005
1200	11	1042016
1201	7	1042023
1202	16	1042039
1203	9	1042048
1204	7	1042055
1205	9	1042064
1206	6	1042070
1207	8	1042078
1208	6	1042084
1209	8	1042092
1210	8	1042100
1211	11	1042111
1212	10	1042121
1213	9	1042130
1214	8	1042138
1215	12	1042150
1216	7	1042157
1217	9	1042166
1218	14	1042180
1219	7	1042187
1220	15	1042202
1221	13	1042215
1222	12	1042227
1223	9	1042236
1224	8	1042244
1225	10	1042254
1226	11	1042265
1227	11	1042276
1228	12	1042288
1229	16	1042304
1230	8	1042312
1231	20	1042332
1232	10	1042342
1233	9	1042351
1234	8	1042359
1235	8	1042367
1236	8	1042375
1237	10	1042385
1238	10	1042395
1239	7	1042402
1240	9	1042411
1241	11	1042422
1242	12	1042434
1243	10	1042444
1244	7	1042451
1245	13	1042464
1246	8	1042472
1247	12	1042484
1248	6	1042490
1249	8	1042498
1250	11	1042509
1251	9	1042518
1252	10	1042528
1253	11	1042539
1254	9	1042548
1255	8	1042556
1256	15	1042571
1257	6	1042577
1258	4	1042581
1259	12	1042593
1260	8	1042601
1261	7	1042608
1262	10	1042618
1263	12	1042630
1264	11	1042641
1265	8	1042649
1266	11	1042660
1267	13	1042673
1268	5	1042678
1269	7	1042685
1270	8	1042693
1271	12	1042705
1272	11	1042716
1273	13	1042729
1274	10	1042739
1275	11	1042750
1276	13	1042763
1277	15	1042778
1278	16	1042794
1279	11	1042805
1280	7	1042812
1281	10	1042822
1282	15	1042837
1283	18	1042855
1284	13	1042868
1285	8	1042876
1286	9	1042885
1287	10	1042895
1288	9	1042904
1289	10	1042914
1290	10	1042924
1291	6	1042930
1292	4	1042934
1293	6	1042940
1294	11	1042951
1295	11	1042962
1296	9	1042971
1297	8	1042979
1298	7	1042986
1299	9	1042995
1300	8	1043003
1301	9	1043012
1302	13	1043025
1303	9	1043034
1304	10	1043044
1305	14	1043058
1306	7	1043065
1307	11	1043076
1308	10	1043086
1309	6	1043092
1310	7	1043099
1311	8	1043107
1312	6	1043113
1313	11	1043124
1314	6	1043130
