views	n_tweets	n_tweeted	n_viewers
512	232.0	756615.0	6787.0
513	254.0	756869.0	6772.0
514	252.0	757121.0	6700.0
515	231.0	757352.0	6575.0
516	230.0	757582.0	6736.0
517	280.0	757862.0	6772.0
518	233.0	758095.0	6632.0
519	259.0	758354.0	6604.0
520	245.0	758599.0	6716.0
521	270.0	758869.0	6684.0
522	266.0	759135.0	6859.0
523	262.0	759397.0	6740.0
524	246.0	759643.0	6621.0
525	248.0	759891.0	6691.0
526	243.0	760134.0	6426.0
527	232.0	760366.0	6411.0
528	252.0	760618.0	6471.0
529	236.0	760854.0	6260.0
530	248.0	761102.0	6383.0
531	234.0	761336.0	6350.0
532	257.0	761593.0	6331.0
533	253.0	761846.0	6376.0
534	252.0	762098.0	6265.0
535	238.0	762336.0	6368.0
536	237.0	762573.0	6206.0
537	239.0	762812.0	6245.0
538	261.0	763073.0	6127.0
539	224.0	763297.0	6070.0
540	259.0	763556.0	6249.0
541	219.0	763775.0	6240.0
542	237.0	764012.0	5971.0
543	213.0	764225.0	6076.0
544	219.0	764444.0	5974.0
545	234.0	764678.0	5995.0
546	207.0	764885.0	5950.0
547	235.0	765120.0	5945.0
548	210.0	765330.0	5884.0
549	222.0	765552.0	5897.0
550	225.0	765777.0	5749.0
551	247.0	766024.0	5786.0
552	246.0	766270.0	5875.0
553	240.0	766510.0	5760.0
554	253.0	766763.0	5772.0
555	256.0	767019.0	5721.0
556	263.0	767282.0	5614.0
557	235.0	767517.0	5652.0
558	192.0	767709.0	5664.0
559	231.0	767940.0	5646.0
560	244.0	768184.0	5569.0
561	218.0	768402.0	5409.0
562	223.0	768625.0	5571.0
563	215.0	768840.0	5455.0
564	234.0	769074.0	5486.0
565	231.0	769305.0	5435.0
566	221.0	769526.0	5428.0
567	227.0	769753.0	5542.0
568	258.0	770011.0	5515.0
569	239.0	770250.0	5408.0
570	233.0	770483.0	5420.0
571	240.0	770723.0	5506.0
572	208.0	770931.0	5428.0
573	212.0	771143.0	5476.0
574	200.0	771343.0	5426.0
575	191.0	771534.0	5284.0
576	216.0	771750.0	5342.0
577	205.0	771955.0	5280.0
578	238.0	772193.0	5307.0
579	206.0	772399.0	5224.0
580	234.0	772633.0	5250.0
581	214.0	772847.0	5147.0
582	206.0	773053.0	5257.0
583	193.0	773246.0	5104.0
584	217.0	773463.0	5368.0
585	215.0	773678.0	5160.0
586	216.0	773894.0	5160.0
587	202.0	774096.0	5035.0
588	213.0	774309.0	5122.0
589	199.0	774508.0	5064.0
590	190.0	774698.0	4982.0
591	212.0	774910.0	4923.0
592	223.0	775133.0	5067.0
593	212.0	775345.0	4915.0
594	210.0	775555.0	5032.0
595	199.0	775754.0	4895.0
596	215.0	775969.0	4775.0
597	185.0	776154.0	4904.0
598	238.0	776392.0	4745.0
599	203.0	776595.0	4886.0
600	213.0	776808.0	4710.0
601	190.0	776998.0	4801.0
602	215.0	777213.0	4646.0
603	211.0	777424.0	4766.0
604	193.0	777617.0	4693.0
605	205.0	777822.0	4667.0
606	211.0	778033.0	4771.0
607	165.0	778198.0	4625.0
608	213.0	778411.0	4744.0
609	195.0	778606.0	4620.0
610	205.0	778811.0	4726.0
611	203.0	779014.0	4559.0
612	200.0	779214.0	4530.0
613	199.0	779413.0	4826.0
614	194.0	779607.0	4650.0
615	206.0	779813.0	4581.0
616	200.0	780013.0	4550.0
617	194.0	780207.0	4513.0
618	170.0	780377.0	4566.0
619	211.0	780588.0	4570.0
620	204.0	780792.0	4455.0
621	202.0	780994.0	4382.0
622	204.0	781198.0	4389.0
623	202.0	781400.0	4355.0
624	197.0	781597.0	4481.0
625	194.0	781791.0	4421.0
626	214.0	782005.0	4388.0
627	215.0	782220.0	4286.0
628	208.0	782428.0	4295.0
629	173.0	782601.0	4284.0
630	176.0	782777.0	4218.0
631	174.0	782951.0	4270.0
632	196.0	783147.0	4171.0
633	173.0	783320.0	4353.0
634	183.0	783503.0	4317.0
635	214.0	783717.0	4303.0
636	209.0	783926.0	4236.0
637	182.0	784108.0	4183.0
638	178.0	784286.0	4159.0
639	185.0	784471.0	4244.0
640	212.0	784683.0	4301.0
641	200.0	784883.0	4262.0
642	207.0	785090.0	4250.0
643	209.0	785299.0	4047.0
644	194.0	785493.0	4156.0
645	188.0	785681.0	4050.0
646	187.0	785868.0	4105.0
647	173.0	786041.0	4116.0
648	175.0	786216.0	3892.0
649	174.0	786390.0	4031.0
650	182.0	786572.0	3999.0
651	177.0	786749.0	3969.0
652	188.0	786937.0	4035.0
653	195.0	787132.0	3904.0
654	178.0	787310.0	4046.0
655	181.0	787491.0	3821.0
656	186.0	787677.0	4000.0
657	204.0	787881.0	3999.0
658	195.0	788076.0	3961.0
659	191.0	788267.0	3903.0
660	162.0	788429.0	3918.0
661	198.0	788627.0	3861.0
662	192.0	788819.0	3901.0
663	206.0	789025.0	3806.0
664	172.0	789197.0	3820.0
665	189.0	789386.0	3742.0
666	187.0	789573.0	3847.0
667	152.0	789725.0	3855.0
668	192.0	789917.0	3764.0
669	188.0	790105.0	3749.0
670	198.0	790303.0	3710.0
671	176.0	790479.0	3768.0
672	193.0	790672.0	3720.0
673	180.0	790852.0	3671.0
674	192.0	791044.0	3751.0
675	180.0	791224.0	3754.0
676	163.0	791387.0	3751.0
677	169.0	791556.0	3597.0
678	200.0	791756.0	5598.0
679	160.0	791916.0	4214.0
680	166.0	792082.0	4228.0
681	168.0	792250.0	4128.0
682	184.0	792434.0	4088.0
683	170.0	792604.0	4092.0
684	154.0	792758.0	3888.0
685	200.0	792958.0	3937.0
686	192.0	793150.0	3961.0
687	180.0	793330.0	4006.0
688	188.0	793518.0	3949.0
689	193.0	793711.0	3808.0
690	172.0	793883.0	3884.0
691	192.0	794075.0	3878.0
692	169.0	794244.0	3872.0
693	154.0	794398.0	3809.0
694	167.0	794565.0	3760.0
695	173.0	794738.0	3600.0
696	158.0	794896.0	3663.0
697	179.0	795075.0	3652.0
698	157.0	795232.0	3639.0
699	171.0	795403.0	3696.0
700	167.0	795570.0	3667.0
701	166.0	795736.0	3667.0
702	175.0	795911.0	3592.0
703	167.0	796078.0	3682.0
704	165.0	796243.0	3589.0
705	180.0	796423.0	3736.0
