views	n_tweets	n_tweeted	n_viewers
420	202.0	1240465.0	711.0
421	188.0	1240653.0	699.0
422	185.0	1240838.0	685.0
423	188.0	1241026.0	712.0
424	181.0	1241207.0	663.0
425	165.0	1241372.0	693.0
426	165.0	1241537.0	640.0
427	176.0	1241713.0	623.0
428	183.0	1241896.0	659.0
429	188.0	1242084.0	642.0
430	171.0	1242255.0	661.0
431	154.0	1242409.0	665.0
432	164.0	1242573.0	641.0
433	179.0	1242752.0	656.0
434	187.0	1242939.0	653.0
435	189.0	1243128.0	649.0
436	167.0	1243295.0	638.0
437	160.0	1243455.0	624.0
438	169.0	1243624.0	632.0
439	154.0	1243778.0	613.0
440	159.0	1243937.0	631.0
441	165.0	1244102.0	609.0
442	159.0	1244261.0	619.0
443	165.0	1244426.0	641.0
444	153.0	1244579.0	621.0
445	181.0	1244760.0	615.0
446	153.0	1244913.0	567.0
447	158.0	1245071.0	557.0
448	168.0	1245239.0	557.0
449	157.0	1245396.0	576.0
450	161.0	1245557.0	594.0
451	165.0	1245722.0	557.0
452	158.0	1245880.0	524.0
453	129.0	1246009.0	569.0
454	145.0	1246154.0	549.0
455	163.0	1246317.0	601.0
456	144.0	1246461.0	586.0
457	171.0	1246632.0	569.0
458	148.0	1246780.0	548.0
459	162.0	1246942.0	562.0
460	153.0	1247095.0	569.0
461	143.0	1247238.0	544.0
462	153.0	1247391.0	545.0
463	151.0	1247542.0	564.0
464	138.0	1247680.0	562.0
465	145.0	1247825.0	526.0
466	133.0	1247958.0	524.0
467	146.0	1248104.0	529.0
468	148.0	1248252.0	507.0
469	132.0	1248384.0	500.0
470	163.0	1248547.0	531.0
471	144.0	1248691.0	501.0
472	157.0	1248848.0	525.0
473	140.0	1248988.0	513.0
474	165.0	1249153.0	495.0
475	120.0	1249273.0	560.0
476	158.0	1249431.0	501.0
477	140.0	1249571.0	524.0
478	156.0	1249727.0	534.0
479	133.0	1249860.0	508.0
480	136.0	1249996.0	486.0
481	138.0	1250134.0	460.0
482	140.0	1250274.0	473.0
483	150.0	1250424.0	527.0
484	137.0	1250561.0	494.0
485	147.0	1250708.0	490.0
486	120.0	1250828.0	512.0
487	130.0	1250958.0	435.0
488	140.0	1251098.0	492.0
489	129.0	1251227.0	468.0
490	136.0	1251363.0	426.0
491	133.0	1251496.0	464.0
492	139.0	1251635.0	458.0
493	123.0	1251758.0	465.0
494	135.0	1251893.0	441.0
495	122.0	1252015.0	435.0
496	134.0	1252149.0	440.0
497	137.0	1252286.0	426.0
498	154.0	1252440.0	477.0
499	124.0	1252564.0	448.0
500	114.0	1252678.0	436.0
501	144.0	1252822.0	437.0
502	128.0	1252950.0	463.0
503	131.0	1253081.0	441.0
504	97.0	1253178.0	459.0
505	119.0	1253297.0	395.0
506	130.0	1253427.0	441.0
507	132.0	1253559.0	431.0
508	134.0	1253693.0	438.0
509	142.0	1253835.0	437.0
510	121.0	1253956.0	428.0
511	125.0	1254081.0	425.0
512	114.0	1254195.0	390.0
513	135.0	1254330.0	449.0
514	130.0	1254460.0	396.0
515	129.0	1254589.0	432.0
516	109.0	1254698.0	414.0
517	133.0	1254831.0	394.0
518	134.0	1254965.0	432.0
519	118.0	1255083.0	389.0
520	111.0	1255194.0	406.0
521	100.0	1255294.0	419.0
522	124.0	1255418.0	379.0
523	117.0	1255535.0	412.0
524	114.0	1255649.0	376.0
525	132.0	1255781.0	366.0
526	97.0	1255878.0	415.0
527	120.0	1255998.0	371.0
528	103.0	1256101.0	407.0
529	126.0	1256227.0	390.0
530	114.0	1256341.0	387.0
531	121.0	1256462.0	358.0
532	113.0	1256575.0	373.0
533	113.0	1256688.0	368.0
534	101.0	1256789.0	391.0
535	123.0	1256912.0	365.0
536	124.0	1257036.0	361.0
537	105.0	1257141.0	377.0
538	118.0	1257259.0	364.0
539	114.0	1257373.0	371.0
540	110.0	1257483.0	376.0
541	115.0	1257598.0	370.0
542	114.0	1257712.0	410.0
543	130.0	1257842.0	364.0
544	93.0	1257935.0	384.0
545	116.0	1258051.0	354.0
546	98.0	1258149.0	376.0
547	122.0	1258271.0	363.0
548	111.0	1258382.0	339.0
549	94.0	1258476.0	374.0
550	120.0	1258596.0	362.0
551	113.0	1258709.0	367.0
552	103.0	1258812.0	346.0
553	92.0	1258904.0	367.0
554	107.0	1259011.0	328.0
555	103.0	1259114.0	347.0
556	115.0	1259229.0	341.0
557	90.0	1259319.0	354.0
558	90.0	1259409.0	335.0
559	131.0	1259540.0	352.0
560	124.0	1259664.0	330.0
561	101.0	1259765.0	317.0
562	103.0	1259868.0	325.0
563	112.0	1259980.0	357.0
564	105.0	1260085.0	330.0
565	105.0	1260190.0	317.0
566	108.0	1260298.0	330.0
567	100.0	1260398.0	331.0
568	113.0	1260511.0	298.0
569	112.0	1260623.0	344.0
570	105.0	1260728.0	352.0
571	101.0	1260829.0	339.0
572	95.0	1260924.0	315.0
573	105.0	1261029.0	299.0
574	94.0	1261123.0	303.0
575	92.0	1261215.0	302.0
576	102.0	1261317.0	339.0
577	123.0	1261440.0	290.0
578	96.0	1261536.0	302.0
579	97.0	1261633.0	297.0
580	91.0	1261724.0	317.0
581	91.0	1261815.0	319.0
582	113.0	1261928.0	316.0
583	106.0	1262034.0	339.0
584	92.0	1262126.0	293.0
585	103.0	1262229.0	279.0
586	89.0	1262318.0	328.0
587	92.0	1262410.0	295.0
588	101.0	1262511.0	294.0
589	87.0	1262598.0	290.0
590	91.0	1262689.0	302.0
591	84.0	1262773.0	318.0
592	114.0	1262887.0	316.0
593	77.0	1262964.0	313.0
594	71.0	1263035.0	285.0
595	108.0	1263143.0	298.0
596	99.0	1263242.0	293.0
597	96.0	1263338.0	289.0
598	91.0	1263429.0	291.0
599	72.0	1263501.0	250.0
600	89.0	1263590.0	288.0
601	84.0	1263674.0	280.0
602	98.0	1263772.0	274.0
603	79.0	1263851.0	273.0
604	89.0	1263940.0	290.0
605	71.0	1264011.0	297.0
606	82.0	1264093.0	281.0
607	83.0	1264176.0	257.0
608	77.0	1264253.0	250.0
609	87.0	1264340.0	260.0
610	90.0	1264430.0	267.0
611	94.0	1264524.0	225.0
612	86.0	1264610.0	273.0
613	79.0	1264689.0	248.0
614	84.0	1264773.0	294.0
615	94.0	1264867.0	290.0
616	91.0	1264958.0	264.0
617	83.0	1265041.0	276.0
618	58.0	1265099.0	272.0
619	88.0	1265187.0	284.0
620	89.0	1265276.0	252.0
621	82.0	1265358.0	260.0
622	80.0	1265438.0	242.0
623	85.0	1265523.0	273.0
624	75.0	1265598.0	251.0
625	87.0	1265685.0	285.0
626	77.0	1265762.0	271.0
627	70.0	1265832.0	270.0
628	90.0	1265922.0	244.0
629	82.0	1266004.0	215.0
630	78.0	1266082.0	281.0
631	87.0	1266169.0	268.0
632	82.0	1266251.0	241.0
633	73.0	1266324.0	237.0
634	95.0	1266419.0	267.0
635	62.0	1266481.0	234.0
636	78.0	1266559.0	223.0
637	69.0	1266628.0	244.0
638	102.0	1266730.0	255.0
639	86.0	1266816.0	231.0
640	84.0	1266900.0	245.0
641	81.0	1266981.0	270.0
642	97.0	1267078.0	230.0
643	81.0	1267159.0	224.0
644	93.0	1267252.0	251.0
645	95.0	1267347.0	239.0
646	79.0	1267426.0	260.0
647	73.0	1267499.0	191.0
648	75.0	1267574.0	259.0
649	68.0	1267642.0	239.0
650	69.0	1267711.0	243.0
651	87.0	1267798.0	225.0
652	55.0	1267853.0	212.0
653	71.0	1267924.0	238.0
654	84.0	1268008.0	246.0
655	63.0	1268071.0	241.0
656	83.0	1268154.0	238.0
657	57.0	1268211.0	232.0
658	60.0	1268271.0	233.0
659	79.0	1268350.0	247.0
660	92.0	1268442.0	197.0
661	68.0	1268510.0	227.0
662	69.0	1268579.0	249.0
663	84.0	1268663.0	249.0
664	92.0	1268755.0	217.0
665	73.0	1268828.0	241.0
666	56.0	1268884.0	230.0
667	84.0	1268968.0	227.0
668	77.0	1269045.0	217.0
669	84.0	1269129.0	222.0
670	79.0	1269208.0	204.0
671	77.0	1269285.0	228.0
672	76.0	1269361.0	206.0
673	77.0	1269438.0	215.0
674	86.0	1269524.0	211.0
675	63.0	1269587.0	250.0
676	71.0	1269658.0	197.0
677	50.0	1269708.0	207.0
678	76.0	1269784.0	214.0
679	74.0	1269858.0	206.0
680	80.0	1269938.0	220.0
681	60.0	1269998.0	203.0
682	64.0	1270062.0	216.0
683	71.0	1270133.0	210.0
684	80.0	1270213.0	200.0
685	78.0	1270291.0	196.0
686	72.0	1270363.0	209.0
687	71.0	1270434.0	183.0
688	81.0	1270515.0	196.0
689	86.0	1270601.0	206.0
690	88.0	1270689.0	205.0
691	66.0	1270755.0	200.0
692	69.0	1270824.0	180.0
693	70.0	1270894.0	183.0
694	71.0	1270965.0	178.0
695	74.0	1271039.0	197.0
696	73.0	1271112.0	188.0
697	65.0	1271177.0	202.0
698	58.0	1271235.0	215.0
699	85.0	1271320.0	198.0
700	75.0	1271395.0	206.0
701	84.0	1271479.0	169.0
702	68.0	1271547.0	174.0
703	59.0	1271606.0	185.0
704	74.0	1271680.0	214.0
705	76.0	1271756.0	188.0
706	73.0	1271829.0	180.0
707	77.0	1271906.0	191.0
708	57.0	1271963.0	165.0
709	59.0	1272022.0	177.0
710	61.0	1272083.0	176.0
711	63.0	1272146.0	193.0
712	69.0	1272215.0	192.0
713	44.0	1272259.0	184.0
714	70.0	1272329.0	186.0
715	68.0	1272397.0	194.0
716	63.0	1272460.0	165.0
717	49.0	1272509.0	191.0
718	63.0	1272572.0	176.0
719	62.0	1272634.0	187.0
720	78.0	1272712.0	164.0
721	67.0	1272779.0	182.0
722	50.0	1272829.0	183.0
723	42.0	1272871.0	185.0
724	68.0	1272939.0	180.0
725	70.0	1273009.0	169.0
726	64.0	1273073.0	187.0
727	79.0	1273152.0	154.0
728	63.0	1273215.0	204.0
729	59.0	1273274.0	165.0
730	65.0	1273339.0	166.0
731	63.0	1273402.0	160.0
732	76.0	1273478.0	176.0
733	71.0	1273549.0	167.0
734	70.0	1273619.0	168.0
735	66.0	1273685.0	174.0
736	65.0	1273750.0	171.0
737	64.0	1273814.0	168.0
738	64.0	1273878.0	160.0
739	64.0	1273942.0	148.0
740	62.0	1274004.0	165.0
741	71.0	1274075.0	164.0
742	72.0	1274147.0	171.0
743	74.0	1274221.0	188.0
744	66.0	1274287.0	190.0
745	76.0	1274363.0	158.0
746	64.0	1274427.0	187.0
747	70.0	1274497.0	169.0
748	68.0	1274565.0	183.0
749	58.0	1274623.0	161.0
750	73.0	1274696.0	166.0
751	38.0	1274734.0	158.0
752	61.0	1274795.0	167.0
753	52.0	1274847.0	153.0
754	65.0	1274912.0	168.0
755	76.0	1274988.0	165.0
756	71.0	1275059.0	152.0
757	61.0	1275120.0	157.0
758	60.0	1275180.0	176.0
759	47.0	1275227.0	141.0
760	42.0	1275269.0	158.0
761	62.0	1275331.0	144.0
762	48.0	1275379.0	168.0
763	37.0	1275416.0	174.0
764	62.0	1275478.0	184.0
765	52.0	1275530.0	164.0
766	48.0	1275578.0	173.0
767	52.0	1275630.0	144.0
768	57.0	1275687.0	160.0
769	57.0	1275744.0	153.0
770	52.0	1275796.0	155.0
771	43.0	1275839.0	172.0
772	61.0	1275900.0	152.0
773	63.0	1275963.0	160.0
774	63.0	1276026.0	150.0
775	58.0	1276084.0	147.0
776	63.0	1276147.0	147.0
777	60.0	1276207.0	168.0
778	60.0	1276267.0	165.0
779	62.0	1276329.0	161.0
780	59.0	1276388.0	152.0
781	56.0	1276444.0	145.0
782	53.0	1276497.0	141.0
783	60.0	1276557.0	110.0
784	69.0	1276626.0	152.0
785	45.0	1276671.0	183.0
786	44.0	1276715.0	165.0
787	60.0	1276775.0	135.0
788	66.0	1276841.0	167.0
789	64.0	1276905.0	156.0
790	57.0	1276962.0	136.0
791	60.0	1277022.0	143.0
792	59.0	1277081.0	157.0
793	63.0	1277144.0	139.0
794	53.0	1277197.0	146.0
795	53.0	1277250.0	134.0
796	50.0	1277300.0	121.0
797	63.0	1277363.0	157.0
798	41.0	1277404.0	144.0
799	56.0	1277460.0	147.0
800	61.0	1277521.0	136.0
801	67.0	1277588.0	134.0
802	59.0	1277647.0	143.0
803	47.0	1277694.0	165.0
804	47.0	1277741.0	139.0
805	47.0	1277788.0	138.0
806	49.0	1277837.0	127.0
807	53.0	1277890.0	137.0
808	63.0	1277953.0	151.0
809	41.0	1277994.0	108.0
810	48.0	1278042.0	132.0
811	50.0	1278092.0	132.0
812	47.0	1278139.0	116.0
813	58.0	1278197.0	127.0
814	65.0	1278262.0	134.0
815	50.0	1278312.0	125.0
816	50.0	1278362.0	138.0
817	52.0	1278414.0	109.0
818	55.0	1278469.0	135.0
819	53.0	1278522.0	148.0
820	53.0	1278575.0	148.0
821	44.0	1278619.0	149.0
822	55.0	1278674.0	116.0
823	49.0	1278723.0	118.0
824	52.0	1278775.0	124.0
825	47.0	1278822.0	135.0
826	43.0	1278865.0	134.0
827	46.0	1278911.0	136.0
828	57.0	1278968.0	125.0
829	58.0	1279026.0	146.0
830	46.0	1279072.0	115.0
831	44.0	1279116.0	125.0
832	50.0	1279166.0	123.0
833	54.0	1279220.0	124.0
834	49.0	1279269.0	112.0
835	44.0	1279313.0	133.0
836	58.0	1279371.0	120.0
837	56.0	1279427.0	145.0
838	54.0	1279481.0	120.0
839	47.0	1279528.0	130.0
840	47.0	1279575.0	126.0
841	53.0	1279628.0	103.0
842	42.0	1279670.0	138.0
